,id,Avg Silence,Std Silence,Silence Slope,Engaged,Disengaged,No Answers,SBE,SBD,SBNA,Conf Eng,Conf Diseng
1,P14_S1,1.158254124638361,0.6253820445977458,0.0009251627486663573,94,3,18,1.2013402807931683,1.0776719576719578,1.1933333333333334,0.700531914893617,0.5366666666666667
1,P15_S1,1.3458231292517007,1.2527968768052702,-0.0011882805103608312,75,0,27,1.47606470143613,0.0,1.2135567313345093,0.7159999999999999,0.0
1,P18_S1,4.162434226702729,5.644291230726438,0.007094410018180761,31,0,28,3.1321966205837173,0.0,3.2198202137998053,0.6635483870967742,0.0
1,P24_S2,1.03436198721913,0.543747523386905,-0.000219050184974169,75,2,9,0.9872501889644746,1.1750113378684808,1.0065507684555304,0.7462666666666667,0.51
1,P18_S3,1.597786529816605,1.108916120906873,0.007691980949323813,19,8,16,1.6963647213271273,1.8131235827664398,1.0465561224489797,0.6826315789473684,0.54875
1,P13_S3,0.9638356502021097,0.47316344902348484,-0.00334063620464857,18,7,48,0.8613303099017384,1.2642759961127308,0.9877702191987906,0.5855555555555555,0.5171428571428571
1,P44_S2,2.8579463136605994,2.906864818635443,-0.0041055982457156625,43,0,11,3.4019764805146866,0.0,1.4992743764172336,0.6746511627906977,0.0
1,P46_S2,2.1315125329411044,1.8502875540898633,0.0099343476548956,38,0,17,2.510809165771572,0.0,1.5991169801253835,0.7405263157894737,0.0
1,P30_S3,1.946534836156685,1.8143897745774915,0.004828827570116517,84,10,56,2.2489790519382353,1.6946938775510203,1.9160528020732102,0.6517857142857141,0.5519999999999999
1,P39_S3,1.4748477129471464,1.1574427654945236,0.0035681672031513127,77,41,57,1.4020761551373795,1.3065604778496764,1.5901515693996897,0.6564935064935064,0.5487804878048781
1,P25_S3,1.3121336188796506,0.9976702535158267,0.0011343987600398648,115,1,41,1.272825002464754,1.2540136054421769,1.285265195509098,0.7115652173913042,0.5
1,P40_S3,3.14993820861678,3.4856950820083075,0.010228640635813628,37,4,20,3.4168388796960225,1.2592517006802721,3.1318049886621315,0.7427027027027027,0.5475000000000001
1,P28_S3,1.1811904761904761,0.6865031364314856,0.0004981799095080773,70,1,19,1.1390832523485583,0.7170068027210884,1.0323690177825515,0.775,0.54
1,P34_S2,1.5191406124739457,1.2830957070558715,0.005670026938831604,22,19,32,1.7907276850133993,1.6549492779567967,1.53093679138322,0.5704545454545454,0.5257894736842106
1,P22_S3,1.0171315192743764,0.5584176826639821,0.004458922817247198,18,6,36,1.0633358528596624,0.8303325774754345,1.0063580246913582,0.5761111111111111,0.5499999999999999
1,P6_S1,3.4909732664995823,4.437218332253532,0.011898764226583779,5,28,28,2.272798185941043,4.8781762228701,2.607930029154519,0.5619999999999999,0.5992857142857143
1,P7_S1,1.5112815126050418,1.1983682363533539,-0.002086830623030504,27,33,42,1.1823750734861844,1.793884422455851,1.5395486448547673,0.6,0.563030303030303
1,P9_S1,1.679626750170968,1.4513072862052332,0.008482168164353609,36,18,43,1.8698072562358277,1.6691609977324262,1.3496503717766177,0.6150000000000002,0.6005555555555555
1,P11_S1,1.994018644494835,2.3764591697943027,-0.003275636599507354,22,32,31,2.287687074829932,1.6088421201814058,1.7387126033208982,0.5663636363636363,0.589375
1,P13_S1,1.7665162045564315,1.8849381622516603,-0.0003612928274263849,46,62,104,1.6073528541851523,1.4055811571940604,1.9826521890807605,0.6165217391304347,0.5911290322580646
1,P17_S1,3.1414693108881973,4.629171368250849,0.027685203838783923,9,49,31,4.281899722852104,3.582023231061132,2.76396898544364,0.57,0.6073469387755102
